[2025-11-28 09:42:46] [INFO] 🔧 Initializing ApiService...
[2025-11-28 09:42:46] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-28 09:42:46] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-28 09:42:56] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:56] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:42:56] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:42:57] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:57] [INFO] 📍 Запрос от 127.0.0.1: POST /verify-token
[2025-11-28 09:42:57] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:42:57] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:57] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 09:42:57] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:42:57] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:57] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 09:42:57] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:42:57] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:57] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 09:42:57] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:42:57] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:57] [INFO] 📍 Запрос от 127.0.0.1: POST /verify-token
[2025-11-28 09:42:57] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:42:57] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:42:57] [INFO] 📍 Запрос от 127.0.0.1: GET /dashboard
[2025-11-28 09:42:57] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:39] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:39] [INFO] 📍 Запрос от 127.0.0.1: GET /dashboard
[2025-11-28 09:43:39] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:40] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:40] [INFO] 📍 Запрос от 127.0.0.1: GET /dashboard
[2025-11-28 09:43:40] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:41] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:41] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 09:43:41] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:41] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:41] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 09:43:41] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:41] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:41] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 09:43:41] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:51] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:51] [INFO] 📍 Запрос от 127.0.0.1: GET /event-categories
[2025-11-28 09:43:51] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:51] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:51] [INFO] 📍 Запрос от 127.0.0.1: GET /events
[2025-11-28 09:43:51] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:52] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:52] [INFO] 📍 Запрос от 127.0.0.1: GET /news
[2025-11-28 09:43:52] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:43:53] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:43:53] [INFO] 📍 Запрос от 127.0.0.1: GET /profile
[2025-11-28 09:43:53] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:23] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:23] [INFO] 📍 Запрос от 127.0.0.1: DELETE /sessions/95449817734eada5307f963e671bc3359f962d08b2d7f0b5e085e8a33a5ad29d
[2025-11-28 09:44:23] [INFO] ✅ Сессия успешно отозвана!
[2025-11-28 09:44:23] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:23] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:23] [INFO] 📍 Запрос от 127.0.0.1: GET /profile
[2025-11-28 09:44:23] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:33] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:33] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:33] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:34] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:34] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:34] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:35] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:35] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:35] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:36] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:36] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:36] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:37] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:37] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:37] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:37] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:37] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:37] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:38] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:38] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:38] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:44:39] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:44:39] [INFO] 📍 Запрос от 127.0.0.1: GET /status
[2025-11-28 09:44:39] [WARNING] ❌ Неудачный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:45:06] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:06] [INFO] 📍 Запрос от 192.168.0.176: GET /status
[2025-11-28 09:45:06] [WARNING] ❌ Неудачный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:06] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:06] [INFO] 📍 Запрос от 192.168.0.176: POST /login
[2025-11-28 09:45:06] [WARNING] ❌ Неудачный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:17] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:17] [INFO] 📍 Запрос от 192.168.0.176: GET /status
[2025-11-28 09:45:17] [WARNING] ❌ Неудачный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:17] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:17] [INFO] 📍 Запрос от 192.168.0.176: POST /login
[2025-11-28 09:45:17] [INFO] ✅ Успешный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:17] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:17] [INFO] 📍 Запрос от 192.168.0.176: GET /teachers
[2025-11-28 09:45:17] [INFO] ✅ Успешный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:17] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:17] [INFO] 📍 Запрос от 192.168.0.176: POST /verify-token
[2025-11-28 09:45:17] [INFO] ✅ Успешный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:17] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 09:45:17] [INFO] 📍 Запрос от 192.168.0.176: GET /students
[2025-11-28 09:45:17] [INFO] ✅ Успешный ответ отправлен клиенту 192.168.0.176
[2025-11-28 09:45:17] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
