[2025-11-29 15:43:14] [INFO] 🔧 Initializing ApiService...
[2025-11-29 15:43:54] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-29 15:43:54] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-29 18:02:28] [INFO] 🔧 Initializing ApiService...
[2025-11-29 18:02:29] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-29 18:02:29] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-29 18:16:44] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:17:15] [WARNING] ⏰ Таймаут чтения от клиента: 178.34.159.22
[2025-11-29 18:17:15] [WARNING] ❌ Не HTTP запрос от 178.34.159.22
[2025-11-29 18:18:09] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:09] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:18:09] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:09] [INFO] 📍 Запрос от 178.34.159.22: POST /login
[2025-11-29 18:18:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:10] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:18:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:10] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:18:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:10] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:18:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:10] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:18:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:10] [INFO] 📍 Запрос от 178.34.159.22: GET /dashboard
[2025-11-29 18:18:11] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:11] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:18:11] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:11] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:18:41] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:41] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:18:41] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:41] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:18:41] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:41] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:18:47] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:47] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:18:47] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:47] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:18:47] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:47] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:18:49] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:49] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:18:49] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:49] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:18:49] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:49] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:18:49] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:49] [INFO] 📍 Запрос от 178.34.159.22: GET /event-categories
[2025-11-29 18:18:50] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:50] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:18:51] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:51] [INFO] 📍 Запрос от 178.34.159.22: GET /news
[2025-11-29 18:18:53] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:53] [INFO] 📍 Запрос от 178.34.159.22: GET /profile
[2025-11-29 18:18:55] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:18:55] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:03] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:03] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:04] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:04] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:06] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:06] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:12] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:12] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:13] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:13] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:14] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:14] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:15] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:15] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:16] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:16] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:17] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:19] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:19] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:20] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:20] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:21] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:21] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:19:27] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:27] [INFO] 📍 Запрос от 178.34.159.22: GET /news
[2025-11-29 18:19:28] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:28] [INFO] 📍 Запрос от 178.34.159.22: GET /event-categories
[2025-11-29 18:19:28] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:28] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:19:29] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:29] [INFO] 📍 Запрос от 178.34.159.22: GET /news
[2025-11-29 18:19:30] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:30] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:19:30] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:30] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:19:30] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:30] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:19:31] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:31] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:19:31] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:31] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:19:31] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:31] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:19:32] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:32] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:19:32] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:32] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:19:32] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:32] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:19:32] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:32] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:19:32] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:19:32] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:29:47] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:29:48] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:29:48] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:29:48] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:29:48] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:29:48] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:29:48] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:29:48] [INFO] 📍 Запрос от 178.34.159.22: GET /dashboard
[2025-11-29 18:30:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:30:00] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:30:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:30:00] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:30:04] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:30:04] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:30:04] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:30:04] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:30:04] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:30:04] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:16] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:16] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:34:16] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:16] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:34:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:17] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:34:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:17] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:17] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:17] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:34:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:17] [INFO] 📍 Запрос от 178.34.159.22: GET /dashboard
[2025-11-29 18:34:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:19] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:19] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:19] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:34:19] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:19] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:34:21] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:21] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:34:21] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:21] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:21] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:21] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:52] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:52] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:52] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:52] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:52] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:52] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:34:52] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:52] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:52] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:52] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:34:53] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:53] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:53] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:53] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:53] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:53] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:54] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:54] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:34:54] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:54] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:54] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:54] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:55] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:55] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:34:55] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:55] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:34:55] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:55] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:34:58] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:58] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:34:58] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:58] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:34:58] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:34:58] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:35:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:00] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:35:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:00] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:35:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:00] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:35:11] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:11] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:35:11] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:11] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:35:11] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:12] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:35:12] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:12] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:35:12] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:12] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:35:12] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:12] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:35:12] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:12] [INFO] 📍 Запрос от 178.34.159.22: GET /dashboard
[2025-11-29 18:35:13] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:13] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:35:13] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:13] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:35:13] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:13] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:35:15] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:15] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:35:15] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:15] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:35:15] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:15] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:35:47] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:35:47] [INFO] 📍 Запрос от 178.34.159.22: GET /profile
[2025-11-29 18:36:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:36:10] [INFO] 📍 Запрос от 178.34.159.22: GET /event-categories
[2025-11-29 18:36:10] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:36:11] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:37:56] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:37:56] [INFO] 📍 Запрос от 178.34.159.22: GET /dashboard
[2025-11-29 18:38:01] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:01] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:38:01] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:01] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:38:01] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:01] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:38:07] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:07] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:38:07] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:07] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:38:08] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:08] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:38:17] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:17] [INFO] 📍 Запрос от 178.34.159.22: PUT /teachers/1
[2025-11-29 18:38:24] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:24] [INFO] 📍 Запрос от 178.34.159.22: PUT /teachers/1
[2025-11-29 18:38:24] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:24] [INFO] 📍 Запрос от 178.34.159.22: PUT /teachers/1
[2025-11-29 18:38:25] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:25] [INFO] 📍 Запрос от 178.34.159.22: PUT /teachers/1
[2025-11-29 18:38:29] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:29] [INFO] 📍 Запрос от 178.34.159.22: PUT /teachers/1
[2025-11-29 18:38:29] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:29] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:38:31] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:31] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:38:33] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:38:33] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:40:59] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:40:59] [INFO] 📍 Запрос от 178.34.159.22: GET /status
[2025-11-29 18:41:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:00] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:41:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:00] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:41:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:00] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:41:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:00] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:41:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:00] [INFO] 📍 Запрос от 178.34.159.22: POST /verify-token
[2025-11-29 18:41:00] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:00] [INFO] 📍 Запрос от 178.34.159.22: GET /dashboard
[2025-11-29 18:41:25] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:25] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:41:25] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:25] [INFO] 📍 Запрос от 178.34.159.22: GET /events
[2025-11-29 18:41:25] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:25] [INFO] 📍 Запрос от 178.34.159.22: GET /portfolio
[2025-11-29 18:41:27] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:27] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:41:27] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:27] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:41:31] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:41:31] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:48:22] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:48:22] [INFO] 📍 Запрос от 178.34.159.22: GET /teachers
[2025-11-29 18:48:28] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:48:28] [INFO] 📍 Запрос от 178.34.159.22: GET /groups
[2025-11-29 18:48:28] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:48:28] [INFO] 📍 Запрос от 178.34.159.22: GET /students
[2025-11-29 18:48:28] [INFO] 🔗 Поступил запрос от IP: 178.34.159.22
[2025-11-29 18:48:28] [INFO] 📍 Запрос от 178.34.159.22: GET /students
